journal_id,MeSH
0,History
0,United Kingdom
1,Anesthesiology
2,Critical Care
2,Nursing Care
3,Anesthesiology
3,Nursing
4,Biopharmaceutics
4,Dosage Forms
4,Drug Design
4,Drug Evaluation
4,Pharmaceutical Preparations
5,Biocompatible Materials
5,Chemical Phenomena
6,Biochemistry
6,Biology
7,Neurosciences
7,Nervous System/chemistry
8,Pharmaceutical Preparations/chemical synthesis
8,Drug Discovery
8,Combinatorial Chemistry Techniques
8,"Chemistry, Pharmaceutical"
9,Communicable Diseases
10,Nanotechnology
11,Biosensing Techniques
12,Genetic Engineering
12,Synthetic Biology
13,Acquired Immunodeficiency Syndrome
14,"Health Knowledge, Attitudes, Practice"
14,Behavior
14,Acquired Immunodeficiency Syndrome/psychology
15,Acquired Immunodeficiency Syndrome
15,Acquired Immunodeficiency Syndrome/psychology
15,Social Support
16,Acquired Immunodeficiency Syndrome
16,Acquired Immunodeficiency Syndrome/prevention & control
17,HIV Infections/therapy
17,Sexually Transmitted Diseases/therapy
17,Acquired Immunodeficiency Syndrome/therapy
18,Retroviridae
18,Acquired Immunodeficiency Syndrome
19,HIV Infections
19,Acquired Immunodeficiency Syndrome/therapy
19,Acquired Immunodeficiency Syndrome
20,HIV Infections
20,Retroviridae
20,Acquired Immunodeficiency Syndrome
21,Nervous System/diagnostic imaging
21,Neuroradiography
21,Radionuclide Imaging
22,Radiography
22,Neoplasms/radiotherapy
22,Nuclear Medicine
22,Radiology
23,Animal Testing Alternatives
23,Animal Welfare
24,Medical Informatics Computing
24,Medical Informatics Applications
25,Nursing
26,"Surgical Procedures, Operative"
26,General Surgery
26,Clinical Medicine
27,Nursing
27,Operating Rooms
28,Allergy and Immunology
28,Microbiology
28,Pathology
29,Pathology
29,Microbiology
29,Allergy and Immunology
30,Artificial Organs
31,Neurosciences
31,Neurobiology
31,Nervous System/cytology
32,Gastrointestinal Diseases/diagnosis
32,Diagnostic Imaging
32,Abdomen
33,Emergency Medicine
34,"Education, Medical"
35,Pediatrics
35,Ambulatory Care
36,Psychiatry/education
37,Radiology
37,Radiography
38,"Accidents, Traffic/prevention & control"
39,Research/standards
39,Program Evaluation
39,Ethics
40,Chemistry
40,Research
41,Anesthesiology
42,Biochemistry
43,Biophysics
43,Biochemistry
44,Biocompatible Materials
45,Biology
45,Zoology
46,Cardiology
47,Chemical Phenomena
48,Orthopedics
48,Wounds and Injuries
49,"Surgery, Plastic"
50,General Surgery
51,"Surgical Procedures, Operative"
52,Medicine
53,Clinical Medicine
54,Crystallography
54,Crystallization
55,Crystallography
56,Chemical Phenomena
56,Crystallography
57,Molecular Structure
57,Biochemical Phenomena
57,"Chemistry Techniques, Analytical"
58,Crystallization
58,Macromolecular Substances
58,Crystallography
59,Cell Biology
59,Gynecology
60,Dermatology
60,Sexually Transmitted Diseases
61,Sexually Transmitted Diseases
61,Skin Diseases
62,Sexually Transmitted Diseases
62,Skin Diseases
62,Dermatology
63,Diabetes Mellitus
64,Gastroenterology
65,Hematology
66,Biochemistry
66,Histology
67,Medicine
68,Medicine
69,Medicine
70,Europe
70,History of Medicine
71,Microbiology
71,Allergy and Immunology
72,Cardiomyopathies
72,Muscular Diseases
73,Biology
73,Neurophysiology
74,Neurosurgery
75,Neurosurgery
75,Neurosurgical Procedures
76,Neurology
77,Neurology
78,Nervous System Diseases
78,Neurosurgery
78,Neurosciences
79,Neurology
79,Pathology
80,Pathology
80,Neurology
80,Nervous System Diseases
81,Neuropsychology
81,Biological Psychiatry
82,Gynecology
82,Obstetrics
83,Dentistry
84,Biomechanical Phenomena
84,Biomedical Technology
85,Physics
85,Medical Oncology
85,Radiation Effects
85,Neoplasms/therapy
86,Eye Diseases
87,Eye Diseases
88,Orthopedics
89,Orthopedics
90,Traumatology
90,Orthopedic Procedures
90,Orthopedics
90,Wounds and Injuries/therapy
91,Orthopedics
92,Orthopedics
92,Wounds and Injuries
93,Otolaryngology
94,Otolaryngology
95,Otolaryngology
96,Otorhinolaryngologic Diseases
97,Pediatrics
98,Parasites
98,Parasitology
99,Pharmaceutical Preparations
100,Pharmacology
101,Physiological Phenomena
102,Psychiatry
103,Psychiatry
104,Psychology
105,Radiography
105,Radionuclide Imaging
106,Rheumatic Diseases/prevention & control
107,Food
107,Nutritional Physiological Phenomena
108,Ethnology
108,Tropical Medicine
109,Veterinary Medicine
110,Veterinary Medicine
111,Virology
112,Syphilis
112,Sexually Transmitted Diseases
112,Dermatology
113,Mental Disorders
114,Urology
115,Acupuncture Therapy
116,Physical Education and Training
116,Physical Therapy Modalities
117,Tobacco Use Disorder
117,Substance-Related Disorders
118,Substance-Related Disorders
118,Alcoholism
118,Tobacco Use Disorder
119,Substance-Related Disorders/prevention & control
120,Obesity
120,Feeding Behavior
120,Smoking
120,Substance-Related Disorders
120,Alcoholism
120,Behavior
121,Substance-Related Disorders
122,Adipocytes
122,Adipose Tissue
123,Mental Health
123,Mental Health Services/organization & administration
123,Health Policy
124,Biological Science Disciplines
125,Pharmaceutical Preparations/administration & dosage
126,Emergency Nursing
127,Biocompatible Materials/therapeutic use
127,Nanotechnology
128,Manufactured Materials
128,Biomedical and Dental Materials
129,Neurosurgery
130,Pathology
131,Anatomy
131,Embryology
131,Cell Biology
132,Microbiology
133,Microbiology
133,Biochemistry
133,Chemical Engineering
133,Technology
134,"Neoplasms, Experimental"
135,Biochemistry
135,Carbohydrates
136,Cardiology
137,Child Behavior
137,Child Development
137,"Psychology, Child"
138,"Kidney Failure, Chronic"
139,Medicine
139,Clinical Medicine
140,"Chemistry, Clinical"
141,Colloids
141,"Chemistry, Physical"
142,Dentistry
143,Medicine
143,Biology
144,Food
144,Nutritional Physiological Phenomena
145,Genetics
146,Geriatrics
147,Health Services Administration
147,Delivery of Health Care/organization & administration
147,Delivery of Health Care/methods
148,"Education, Nursing"
148,"Education, Dental"
148,"Education, Medical"
148,Physical Therapy Specialty/education
149,Allergy and Immunology
150,Aging
150,Life Change Events
151,Marine Biology
152,Medicine
153,Microbiology
153,Biochemistry
154,Infant Care/methods
154,"Infant, Newborn, Diseases/nursing"
155,Nervous System Physiological Phenomena
156,Nutritional Sciences
156,Nutritional Physiological Phenomena
157,Otolaryngology
158,Parasitology
159,Pediatrics
160,Peritoneal Dialysis
161,Drug Therapy
161,Pharmacology
162,Physiology/education
162,Teaching
163,Proteins
163,Biochemistry
164,Psychosomatic Medicine
165,Respiratory Tract Diseases
166,Collagen Diseases
166,Arthritis
166,Rheumatic Diseases
167,Wounds and Injuries
167,Wound Healing
167,Pressure Ulcer
168,Diagnosis
168,Drug Therapy
168,Equipment and Supplies
169,Virology
170,Wounds and Injuries/therapy
170,Wound Healing
171,Space Flight
171,Aerospace Medicine
172,Esthetics
172,"Surgery, Plastic"
173,"Surgery, Plastic"
174,Africa
174,Delivery of Health Care
174,Medicine
175,Acquired Immunodeficiency Syndrome
175,Africa
176,Family Health
176,Primary Health Care
177,Africa
177,Reproductive Medicine
178,Geriatrics
178,Aging
179,Developmental Biology
179,Aging
180,Aggression
181,Aging
182,Aged/psychology
182,Mental Health
182,Mental Health Services
182,Mental Disorders
182,Aging/psychology
183,Aging/physiology
183,Cellular Senescence/physiology
184,Geriatrics
184,Aging
185,Pain
186,Urology
187,Ethanol
187,Alcoholism
188,Ethanol
188,Alcoholism
189,Alcoholism
190,Alcohol Drinking/adverse effects
190,Alcoholic Beverages/adverse effects
