journal_id,journal
0,20 century British history
1,A&A practice
2,AACN advanced critical care
3,AANA journal
4,AAPS PharmSciTech
5,ACS applied materials & interfaces
6,ACS chemical biology
7,ACS chemical neuroscience
8,ACS combinatorial science
9,ACS infectious diseases
10,ACS nano
11,ACS sensors
12,ACS synthetic biology
13,"AIDS (London, England)"
14,AIDS and behavior
15,AIDS care
16,AIDS education and prevention : official publication of the International Society for AIDS Education
17,AIDS patient care and STDs
18,AIDS research and human retroviruses
19,AIDS research and therapy
20,AIDS reviews
21,AJNR. American journal of neuroradiology
22,AJR. American journal of roentgenology
23,ALTEX
24,AMIA ... Annual Symposium proceedings. AMIA Symposium
25,ANS. Advances in nursing science
26,ANZ journal of surgery
27,AORN journal
28,"APMIS : acta pathologica, microbiologica, et immunologica Scandinavica"
29,APMIS. Supplementum
30,ASAIO journal (American Society for Artificial Internal Organs : 1992)
31,ASN neuro
32,Abdominal radiology (New York)
33,Academic emergency medicine : official journal of the Society for Academic Emergency Medicine
34,Academic medicine : journal of the Association of American Medical Colleges
35,Academic pediatrics
36,Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry
37,Academic radiology
38,Accident; analysis and prevention
39,Accountability in research
40,Accounts of chemical research
41,Acta anaesthesiologica Scandinavica
42,Acta biochimica Polonica
43,Acta biochimica et biophysica Sinica
44,Acta biomaterialia
45,Acta biotheoretica
46,Acta cardiologica
47,Acta chimica Slovenica
48,Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca
49,Acta chirurgiae plasticae
50,Acta chirurgica Belgica
51,Acta cirurgica brasileira
52,Acta clinica Belgica
53,Acta clinica Croatica
54,"Acta crystallographica Section B, Structural science, crystal engineering and materials"
55,"Acta crystallographica. Section A, Foundations and advances"
56,"Acta crystallographica. Section C, Structural chemistry"
57,"Acta crystallographica. Section D, Structural biology"
58,"Acta crystallographica. Section F, Structural biology communications"
59,Acta cytologica
60,Acta dermato-venereologica
61,"Acta dermatovenerologica Alpina, Pannonica, et Adriatica"
62,Acta dermatovenerologica Croatica : ADC
63,Acta diabetologica
64,Acta gastro-enterologica Belgica
65,Acta haematologica
66,Acta histochemica
67,Acta medica Indonesiana
68,Acta medica Okayama
69,Acta medica portuguesa
70,Acta medico-historica adriatica : AMHA
71,Acta microbiologica et immunologica Hungarica
72,Acta myologica : myopathies and cardiomyopathies : official journal of the Mediterranean Society of Myology
73,Acta neurobiologiae experimentalis
74,Acta neurochirurgica
75,Acta neurochirurgica. Supplement
76,Acta neurologica Belgica
77,Acta neurologica Scandinavica
78,Acta neurologica Taiwanica
79,Acta neuropathologica
80,Acta neuropathologica communications
81,Acta neuropsychiatrica
82,Acta obstetricia et gynecologica Scandinavica
83,Acta odontologica Scandinavica
84,Acta of bioengineering and biomechanics
85,"Acta oncologica (Stockholm, Sweden)"
86,Acta ophthalmologica
87,Acta ophthalmologica. Supplement
88,Acta orthopaedica
89,Acta orthopaedica Belgica
90,Acta orthopaedica et traumatologica turcica
91,Acta orthopaedica. Supplementum
92,Acta ortopedica mexicana
93,Acta oto-laryngologica
94,Acta oto-laryngologica. Supplementum
95,Acta otorhinolaryngologica Italica : organo ufficiale della Societa italiana di otorinolaringologia e chirurgia cervico-facciale
96,Acta otorrinolaringologica espanola
97,"Acta paediatrica (Oslo, Norway : 1992)"
98,Acta parasitologica
99,"Acta pharmaceutica (Zagreb, Croatia)"
100,Acta pharmacologica Sinica
101,"Acta physiologica (Oxford, England)"
102,Acta psychiatrica Scandinavica
103,Acta psychiatrica Scandinavica. Supplementum
104,Acta psychologica
105,"Acta radiologica (Stockholm, Sweden : 1987)"
106,Acta reumatologica portuguesa
107,Acta scientiarum polonorum. Technologia alimentaria
108,Acta tropica
109,Acta veterinaria Hungarica
110,Acta veterinaria Scandinavica
111,Acta virologica
112,Actas dermo-sifiliograficas
113,Actas espanolas de psiquiatria
114,Actas urologicas espanolas
115,Acupuncture in medicine : journal of the British Medical Acupuncture Society
116,Adapted physical activity quarterly : APAQ
117,"Addiction (Abingdon, England)"
118,Addiction biology
119,Addiction science & clinical practice
120,Addictive behaviors
121,Adicciones
122,Adipocyte
123,Administration and policy in mental health
124,Advanced biosystems
125,Advanced drug delivery reviews
126,Advanced emergency nursing journal
127,Advanced healthcare materials
128,"Advanced materials (Deerfield Beach, Fla.)"
129,Advances and technical standards in neurosurgery
130,Advances in anatomic pathology
131,"Advances in anatomy, embryology, and cell biology"
132,Advances in applied microbiology
133,Advances in biochemical engineering/biotechnology
134,Advances in cancer research
135,Advances in carbohydrate chemistry and biochemistry
136,Advances in cardiology
137,Advances in child development and behavior
138,Advances in chronic kidney disease
139,Advances in clinical and experimental medicine : official organ Wroclaw Medical University
140,Advances in clinical chemistry
141,Advances in colloid and interface science
142,Advances in dental research
143,Advances in experimental medicine and biology
144,Advances in food and nutrition research
145,Advances in genetics
146,Advances in gerontology = Uspekhi gerontologii
147,Advances in health care management
148,Advances in health sciences education : theory and practice
149,Advances in immunology
150,Advances in life course research
151,Advances in marine biology
152,Advances in medical sciences
153,Advances in microbial physiology
154,Advances in neonatal care : official journal of the National Association of Neonatal Nurses
155,Advances in neurobiology
156,"Advances in nutrition (Bethesda, Md.)"
157,Advances in oto-rhino-laryngology
158,Advances in parasitology
159,Advances in pediatrics
160,Advances in peritoneal dialysis. Conference on Peritoneal Dialysis
161,"Advances in pharmacology (San Diego, Calif.)"
162,Advances in physiology education
163,Advances in protein chemistry and structural biology
164,Advances in psychosomatic medicine
165,Advances in respiratory medicine
166,"Advances in rheumatology (London, England)"
167,Advances in skin & wound care
168,Advances in therapy
169,Advances in virus research
170,Advances in wound care
171,Aerospace medicine and human performance
172,Aesthetic plastic surgery
173,Aesthetic surgery journal
174,African health sciences
175,African journal of AIDS research : AJAR
176,African journal of primary health care & family medicine
177,African journal of reproductive health
178,Age and ageing
179,Ageing research reviews
180,Aggressive behavior
181,Aging
182,Aging & mental health
183,Aging cell
184,Aging clinical and experimental research
185,Agri : Agri (Algoloji) Dernegi'nin Yayin organidir = The journal of the Turkish Society of Algology
186,Aktuelle Urologie
187,"Alcohol (Fayetteville, N.Y.)"
188,"Alcohol and alcoholism (Oxford, Oxfordshire)"
189,"Alcohol and alcoholism (Oxford, Oxfordshire). Supplement"
190,Alcohol research : current reviews
191,"Alcoholism, clinical and experimental research"
192,Alimentary pharmacology & therapeutics
193,Allergologia et immunopathologia
194,Allergology international : official journal of the Japanese Society of Allergology
195,Allergy
196,Allergy and asthma proceedings
197,Alternative therapies in health and medicine
198,Alternatives to laboratory animals : ATLA
199,Alzheimer disease and associated disorders
200,Alzheimer's & dementia : the journal of the Alzheimer's Association
201,Alzheimer's research & therapy
202,Ambio
203,Ambix
204,American Indian and Alaska native mental health research (Online)
205,American Society of Clinical Oncology educational book. American Society of Clinical Oncology. Annual Meeting
206,American annals of the deaf
207,American family physician
208,American heart journal
209,American journal of Alzheimer's disease and other dementias
210,American journal of audiology
